INFO 2024-01-06 04:43:03,913 autoreload 13972 15116 Watching for file changes with StatReloader
WARNING 2024-01-06 04:56:13,666 basehttp 13376 13104 "GET /web/images/img-w.jpg HTTP/1.1" 404 2512
WARNING 2024-01-06 04:56:13,671 basehttp 13376 1648 "GET /web/images/list-icon.png HTTP/1.1" 404 2524
WARNING 2024-01-06 04:56:13,693 log 13376 13976 Not Found: /web/images/man-r-img.jpg
WARNING 2024-01-06 04:56:13,694 log 13376 14072 Not Found: /web/images/kid-r-img.jpg
WARNING 2024-01-06 04:56:13,695 log 13376 9296 Not Found: /web/images/obj2.png
WARNING 2024-01-06 04:56:13,696 log 13376 10364 Not Found: /web/images/obj3.png
WARNING 2024-01-06 04:56:13,696 basehttp 13376 13976 "GET /web/images/man-r-img.jpg HTTP/1.1" 404 2524
WARNING 2024-01-06 04:56:13,697 basehttp 13376 9296 "GET /web/images/obj2.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:56:13,698 log 13376 13104 Not Found: /web/images/b1.jpg
WARNING 2024-01-06 04:56:13,698 basehttp 13376 14072 "GET /web/images/kid-r-img.jpg HTTP/1.1" 404 2524
WARNING 2024-01-06 04:56:13,702 basehttp 13376 10364 "GET /web/images/obj3.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:56:13,705 basehttp 13376 13104 "GET /web/images/b1.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,706 log 13376 1648 Not Found: /web/images/p1.jpg
WARNING 2024-01-06 04:56:13,713 basehttp 13376 1648 "GET /web/images/p1.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,725 log 13376 13976 Not Found: /web/images/p2.jpg
WARNING 2024-01-06 04:56:13,726 log 13376 9296 Not Found: /web/images/b3.jpg
WARNING 2024-01-06 04:56:13,727 log 13376 10364 Not Found: /web/images/p3.jpg
WARNING 2024-01-06 04:56:13,730 log 13376 14072 Not Found: /web/images/b2.jpg
WARNING 2024-01-06 04:56:13,730 basehttp 13376 13976 "GET /web/images/p2.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,731 log 13376 13104 Not Found: /web/images/b4.jpg
WARNING 2024-01-06 04:56:13,732 basehttp 13376 9296 "GET /web/images/b3.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,733 basehttp 13376 10364 "GET /web/images/p3.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,733 basehttp 13376 14072 "GET /web/images/b2.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,737 log 13376 1648 Not Found: /web/images/p4.jpg
WARNING 2024-01-06 04:56:13,737 basehttp 13376 13104 "GET /web/images/b4.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,743 basehttp 13376 1648 "GET /web/images/p4.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,755 log 13376 13976 Not Found: /web/images/b5.jpg
WARNING 2024-01-06 04:56:13,756 log 13376 10364 Not Found: /web/images/p6.jpg
WARNING 2024-01-06 04:56:13,757 log 13376 14072 Not Found: /web/images/b7.jpg
WARNING 2024-01-06 04:56:13,760 log 13376 9296 Not Found: /web/images/b6.jpg
WARNING 2024-01-06 04:56:13,760 basehttp 13376 13976 "GET /web/images/b5.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,761 basehttp 13376 10364 "GET /web/images/p6.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,761 basehttp 13376 14072 "GET /web/images/b7.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,762 log 13376 13104 Not Found: /web/images/p7.jpg
WARNING 2024-01-06 04:56:13,763 basehttp 13376 9296 "GET /web/images/b6.jpg HTTP/1.1" 404 2503
WARNING 2024-01-06 04:56:13,765 log 13376 1648 Not Found: /web/images/p8.jpg
